"species_code","alt_full_spp_code","n_locations","scientific_name","american_english_name","taxonomy_version","taxonomic_sort_order"
"grerhe1",NA,"1","Rhea americana","Greater Rhea",2022,10
"gretin1",NA,"3","Tinamus major","Great Tinamou",2022,42
"wfwduc1",NA,"1","Dendrocygna viduata","White-faced Whistling-Duck",2022,228
"bbwduc",NA,"105","Dendrocygna autumnalis","Black-bellied Whistling-Duck",2022,230
"fuwduc",NA,"2","Dendrocygna bicolor","Fulvous Whistling-Duck",2022,235
"snogoo",NA,"140","Anser caerulescens","Snow Goose",2022,252
"rosgoo",NA,"5","Anser rossii","Ross's Goose",2022,256
"swagoo2","swagoo1","1","Anser cygnoides (Domestic type)","Swan Goose (Domestic type)",2022,265
"gwfgoo",NA,"13","Anser albifrons","Greater White-fronted Goose",2022,267
"gwfgoo2","gwfgoo","1","Anser albifrons gambelli/sponsa","Greater White-fronted Goose (Western)",2022,270
"domgoo1",NA,"15","Anser sp. (Domestic type)","Domestic goose sp. (Domestic type)",2022,289
"brant",NA,"3","Branta bernicla","Brant",2022,291
"bargoo",NA,"1","Branta leucopsis","Barnacle Goose",2022,299
"cacgoo1",NA,"14","Branta hutchinsii","Cackling Goose",2022,308
"alcgoo1","cacgoo1","2","Branta hutchinsii leucopareia","Cackling Goose (Aleutian)",2022,309
"ricgoo1","cacgoo1","2","Branta hutchinsii hutchinsii","Cackling Goose (Richardson's)",2022,310
"cacgoo2","cacgoo1","1","Branta hutchinsii minima","Cackling Goose (minima)",2022,311
"cangoo",NA,"2782","Branta canadensis","Canada Goose",2022,319
"cangoo4","cangoo","19","Branta canadensis moffitti/maxima","Canada Goose (moffitti/maxima)",2022,320
"cangoo1","cangoo","7","Branta canadensis [canadensis Group]","Canada Goose (canadensis Group)",2022,326
"x00415",NA,"9","Anser albifrons x Branta canadensis","Greater White-fronted x Canada Goose (hybrid)",2022,333
"x00759",NA,"4","Anser sp. (Domestic type) x Branta canadensis","Domestic goose sp. x Canada Goose (hybrid)",2022,335
"x00197",NA,"1","Anser caerulescens x Branta canadensis","Snow x Canada Goose (hybrid)",2022,336
"hawgoo",NA,"1","Branta sandvicensis","Hawaiian Goose",2022,341
"goose1",NA,"2","Anatidae (goose sp.)","goose sp.",2022,347
"mutswa",NA,"111","Cygnus olor","Mute Swan",2022,353
"truswa",NA,"33","Cygnus buccinator","Trumpeter Swan",2022,358
"tunswa",NA,"48","Cygnus columbianus","Tundra Swan",2022,360
"tunswa1","tunswa","2","Cygnus columbianus columbianus","Tundra Swan (Whistling)",2022,361
"x00418",NA,"2","Cygnus buccinator x columbianus","Trumpeter x Tundra Swan (hybrid)",2022,364
"y00471",NA,"52","Cygnus buccinator/columbianus","Trumpeter/Tundra Swan",2022,365
"swan1",NA,"4","Cygnus sp.","swan sp.",2022,370
"egygoo",NA,"11","Alopochen aegyptiaca","Egyptian Goose",2022,391
"musduc",NA,"10","Cairina moschata","Muscovy Duck",2022,415
"musduc3","musduc","105","Cairina moschata (Domestic type)","Muscovy Duck (Domestic type)",2022,416
"wooduc",NA,"1124","Aix sponsa","Wood Duck",2022,423
"manduc",NA,"3","Aix galericulata","Mandarin Duck",2022,425
"baitea",NA,"1","Sibirionetta formosa","Baikal Teal",2022,443
"buwtea",NA,"78","Spatula discors","Blue-winged Teal",2022,450
"cintea",NA,"5","Spatula cyanoptera","Cinnamon Teal",2022,451
"norsho",NA,"58","Spatula clypeata","Northern Shoveler",2022,464
"gadwal",NA,"67","Mareca strepera","Gadwall",2022,468
"x00457",NA,"1","Spatula clypeata x Mareca strepera","Northern Shoveler x Gadwall (hybrid)",2022,471
"eurwig",NA,"1","Mareca penelope","Eurasian Wigeon",2022,475
"amewig",NA,"107","Mareca americana","American Wigeon",2022,477
"x00724",NA,"1","Mareca strepera x americana","Gadwall x American Wigeon (hybrid)",2022,481
"mallar3",NA,"4565","Anas platyrhynchos","Mallard",2022,505
"mallar2","mallar3","256","Anas platyrhynchos (Domestic type)","Mallard (Domestic type)",2022,508
"mdxmal1",NA,"23","Cairina moschata x Anas platyrhynchos","Muscovy Duck x Mallard (hybrid)",2022,509
"x00205",NA,"34","Aix sponsa x Anas platyrhynchos","Wood Duck x Mallard (hybrid)",2022,510
"x00420",NA,"1","Mareca strepera x Anas platyrhynchos","Gadwall x Mallard (hybrid)",2022,512
"x00423",NA,"1","Anas platyrhynchos x wyvilliana","Mallard x Hawaiian Duck (hybrid)",2022,517
"mexduc",NA,"5","Anas diazi","Mexican Duck",2022,524
"mallar",NA,"17","Anas platyrhynchos/diazi","Mallard/Mexican Duck",2022,526
"ambduc",NA,"334","Anas rubripes","American Black Duck",2022,527
"x00004",NA,"127","Anas platyrhynchos x rubripes","Mallard x American Black Duck (hybrid)",2022,529
"y00600",NA,"59","Anas platyrhynchos/rubripes","Mallard/American Black Duck",2022,530
