species_code,alt_full_spp_code,n_locations,scientific_name,american_english_name,taxonomy_version,taxonomic_sort_order,image_url,small_image_url
grerhe1,NA,1,Rhea americana,Greater Rhea,2022,10,https://cdn.download.ams.birds.cornell.edu/api/v1/asset/183424001/1800,https://cdn.download.ams.birds.cornell.edu/api/v1/asset/183424001/320
gretin1,NA,3,Tinamus major,Great Tinamou,2022,42,https://cdn.download.ams.birds.cornell.edu/api/v1/asset/262853911/1800,https://cdn.download.ams.birds.cornell.edu/api/v1/asset/262853911/320
wfwduc1,NA,1,Dendrocygna viduata,White-faced Whistling-Duck,2022,228,https://cdn.download.ams.birds.cornell.edu/api/v1/asset/56428741/1800,https://cdn.download.ams.birds.cornell.edu/api/v1/asset/56428741/320
bbwduc,NA,105,Dendrocygna autumnalis,Black-bellied Whistling-Duck,2022,230,https://cdn.download.ams.birds.cornell.edu/api/v1/asset/59936941/1800,https://cdn.download.ams.birds.cornell.edu/api/v1/asset/59936941/320
fuwduc,NA,2,Dendrocygna bicolor,Fulvous Whistling-Duck,2022,235,https://cdn.download.ams.birds.cornell.edu/api/v1/asset/162798201/1800,https://cdn.download.ams.birds.cornell.edu/api/v1/asset/162798201/320
snogoo,NA,140,Anser caerulescens,Snow Goose,2022,252,https://cdn.download.ams.birds.cornell.edu/api/v1/asset/295417571/1800,https://cdn.download.ams.birds.cornell.edu/api/v1/asset/295417571/320
rosgoo,NA,5,Anser rossii,Ross's Goose,2022,256,https://cdn.download.ams.birds.cornell.edu/api/v1/asset/295421201/1800,https://cdn.download.ams.birds.cornell.edu/api/v1/asset/295421201/320
swagoo2,swagoo1,1,Anser cygnoides (Domestic type),Swan Goose (Domestic type),2022,265,https://cdn.download.ams.birds.cornell.edu/api/v1/asset/146799691/1800,https://cdn.download.ams.birds.cornell.edu/api/v1/asset/146799691/320
gwfgoo,NA,13,Anser albifrons,Greater White-fronted Goose,2022,267,https://cdn.download.ams.birds.cornell.edu/api/v1/asset/59938311/1800,https://cdn.download.ams.birds.cornell.edu/api/v1/asset/59938311/320
gwfgoo2,gwfgoo,1,Anser albifrons gambelli/sponsa,Greater White-fronted Goose (Western),2022,270,https://cdn.download.ams.birds.cornell.edu/api/v1/asset/494424101/1800,https://cdn.download.ams.birds.cornell.edu/api/v1/asset/494424101/320
domgoo1,NA,15,Anser sp. (Domestic type),Domestic goose sp. (Domestic type),2022,289,https://cdn.download.ams.birds.cornell.edu/api/v1/asset/124258101/1800,https://cdn.download.ams.birds.cornell.edu/api/v1/asset/124258101/320
brant,NA,3,Branta bernicla,Brant,2022,291,https://cdn.download.ams.birds.cornell.edu/api/v1/asset/295428261/1800,https://cdn.download.ams.birds.cornell.edu/api/v1/asset/295428261/320
bargoo,NA,1,Branta leucopsis,Barnacle Goose,2022,299,https://cdn.download.ams.birds.cornell.edu/api/v1/asset/161008611/1800,https://cdn.download.ams.birds.cornell.edu/api/v1/asset/161008611/320
cacgoo1,NA,14,Branta hutchinsii,Cackling Goose,2022,308,https://cdn.download.ams.birds.cornell.edu/api/v1/asset/59950661/1800,https://cdn.download.ams.birds.cornell.edu/api/v1/asset/59950661/320
alcgoo1,cacgoo1,2,Branta hutchinsii leucopareia,Cackling Goose (Aleutian),2022,309,https://cdn.download.ams.birds.cornell.edu/api/v1/asset/510837931/1800,https://cdn.download.ams.birds.cornell.edu/api/v1/asset/510837931/320
ricgoo1,cacgoo1,2,Branta hutchinsii hutchinsii,Cackling Goose (Richardson's),2022,310,https://cdn.download.ams.birds.cornell.edu/api/v1/asset/88876311/1800,https://cdn.download.ams.birds.cornell.edu/api/v1/asset/88876311/320
cacgoo2,cacgoo1,1,Branta hutchinsii minima,Cackling Goose (minima),2022,311,https://cdn.download.ams.birds.cornell.edu/api/v1/asset/190997891/1800,https://cdn.download.ams.birds.cornell.edu/api/v1/asset/190997891/320
cangoo,NA,2782,Branta canadensis,Canada Goose,2022,319,https://cdn.download.ams.birds.cornell.edu/api/v1/asset/59953191/1800,https://cdn.download.ams.birds.cornell.edu/api/v1/asset/59953191/320
cangoo4,cangoo,19,Branta canadensis moffitti/maxima,Canada Goose (moffitti/maxima),2022,320,https://cdn.download.ams.birds.cornell.edu/api/v1/asset/59548671/1800,https://cdn.download.ams.birds.cornell.edu/api/v1/asset/59548671/320
cangoo1,cangoo,7,Branta canadensis [canadensis Group],Canada Goose (canadensis Group),2022,326,https://cdn.download.ams.birds.cornell.edu/api/v1/asset/205961551/1800,https://cdn.download.ams.birds.cornell.edu/api/v1/asset/205961551/320
x00415,NA,9,Anser albifrons x Branta canadensis,Greater White-fronted x Canada Goose (hybrid),2022,333,https://cdn.download.ams.birds.cornell.edu/api/v1/asset/90784491/1800,https://cdn.download.ams.birds.cornell.edu/api/v1/asset/90784491/320
x00759,NA,4,Anser sp. (Domestic type) x Branta canadensis,Domestic goose sp. x Canada Goose (hybrid),2022,335,https://cdn.download.ams.birds.cornell.edu/api/v1/asset/418640381/1800,https://cdn.download.ams.birds.cornell.edu/api/v1/asset/418640381/320
x00197,NA,1,Anser caerulescens x Branta canadensis,Snow x Canada Goose (hybrid),2022,336,https://cdn.download.ams.birds.cornell.edu/api/v1/asset/194478231/1800,https://cdn.download.ams.birds.cornell.edu/api/v1/asset/194478231/320
hawgoo,NA,1,Branta sandvicensis,Hawaiian Goose,2022,341,https://cdn.download.ams.birds.cornell.edu/api/v1/asset/96738451/1800,https://cdn.download.ams.birds.cornell.edu/api/v1/asset/96738451/320
goose1,NA,2,Anatidae (goose sp.),goose sp.,2022,347,https://cdn.download.ams.birds.cornell.edu/api/v1/asset/491557421/1800,https://cdn.download.ams.birds.cornell.edu/api/v1/asset/491557421/320
mutswa,NA,111,Cygnus olor,Mute Swan,2022,353,https://cdn.download.ams.birds.cornell.edu/api/v1/asset/59954151/1800,https://cdn.download.ams.birds.cornell.edu/api/v1/asset/59954151/320
truswa,NA,33,Cygnus buccinator,Trumpeter Swan,2022,358,https://cdn.download.ams.birds.cornell.edu/api/v1/asset/295430011/1800,https://cdn.download.ams.birds.cornell.edu/api/v1/asset/295430011/320
tunswa,NA,48,Cygnus columbianus,Tundra Swan,2022,360,https://cdn.download.ams.birds.cornell.edu/api/v1/asset/59956021/1800,https://cdn.download.ams.birds.cornell.edu/api/v1/asset/59956021/320
tunswa1,tunswa,2,Cygnus columbianus columbianus,Tundra Swan (Whistling),2022,361,https://cdn.download.ams.birds.cornell.edu/api/v1/asset/507001121/1800,https://cdn.download.ams.birds.cornell.edu/api/v1/asset/507001121/320
x00418,NA,2,Cygnus buccinator x columbianus,Trumpeter x Tundra Swan (hybrid),2022,364,https://cdn.download.ams.birds.cornell.edu/api/v1/asset/26735581/1800,https://cdn.download.ams.birds.cornell.edu/api/v1/asset/26735581/320
y00471,NA,52,Cygnus buccinator/columbianus,Trumpeter/Tundra Swan,2022,365,https://cdn.download.ams.birds.cornell.edu/api/v1/asset/428306601/1800,https://cdn.download.ams.birds.cornell.edu/api/v1/asset/428306601/320
swan1,NA,4,Cygnus sp.,swan sp.,2022,370,https://cdn.download.ams.birds.cornell.edu/api/v1/asset/531778471/1800,https://cdn.download.ams.birds.cornell.edu/api/v1/asset/531778471/320
egygoo,NA,11,Alopochen aegyptiaca,Egyptian Goose,2022,391,https://cdn.download.ams.birds.cornell.edu/api/v1/asset/46022261/1800,https://cdn.download.ams.birds.cornell.edu/api/v1/asset/46022261/320
musduc,NA,10,Cairina moschata,Muscovy Duck,2022,415,https://cdn.download.ams.birds.cornell.edu/api/v1/asset/299692021/1800,https://cdn.download.ams.birds.cornell.edu/api/v1/asset/299692021/320
